Daftar Saham
TUGU
----
----
OASA
---
SMCB
NATO
IMPC
MGRO
ERAA
TOBA
WIFI
SCMA
MTMH
ESSA
AISA
MPMX
EMTK
SRTG
BOGA
IMAS
KING
NCKL
SMRA
MAYA
BSDE
AVIA
RMKE
HAIS
PNLF
TAPG
KLBF
ASSA
---
AGRO
RAJA
TBIG
TSPC
TYRE
---
